Date,price,VIX,TNX,returns,momentum_20,realised_vol_20,ma_50,trend,vol_adj_mom,yield_change,trend_strength,market_regime,trend_direction
2024-07-15,549.957275390625,13.119999885559082,4.229000091552734,0.002750120523653532,0.03851333712525262,0.004452096226307916,524.0799029541016,0.04937676924961135,8.648664921661533,0.039999961853027344,0.04937676924961135,trend,1.0
2024-07-16,553.2185668945312,13.1899995803833,4.166999816894531,0.00593008157149999,0.044036576566780505,0.004529156903568773,525.28365234375,0.05318062807806637,9.720761886213987,-0.062000274658203125,0.05318062807806637,trend,1.0
2024-07-17,545.4618530273438,14.479999542236328,4.145999908447266,-0.014021065689695633,0.02127002364034314,0.00559179799998786,526.2100415039063,0.036585792753813434,3.803109577780086,-0.020999908447265625,0.036585792753813434,trend,1.0
2024-07-18,541.27001953125,15.93000030517578,4.189000129699707,-0.007684925119563979,0.010853128832090109,0.005908546246147314,526.9495037841797,0.027176258150411896,1.8365418223380057,0.043000221252441406,0.027176258150411896,chop,1.0
2024-07-19,537.67578125,16.520000457763672,4.238999843597412,-0.006640379388392237,0.006876120112651263,0.006085438110455419,527.6059509277344,0.019085892235595453,1.1297445218147064,0.04999971389770508,0.019085892235595453,chop,1.0
2024-07-22,543.2190551757812,14.90999984741211,4.260000228881836,0.010309696138617541,0.018622263785608384,0.0064601168305818985,528.3722888183594,0.028099063239339944,2.88220508526716,0.021000385284423828,0.028099063239339944,chop,1.0
2024-07-23,542.3670043945312,14.720000267028809,4.238999843597412,-0.0015685215257669194,0.020341281864060257,0.0064134291313524315,529.0634002685547,0.02514557635100746,3.1711757114341146,-0.021000385284423828,0.02514557635100746,chop,1.0
2024-07-24,530.0756225585938,18.040000915527344,4.285999774932861,-0.02266248082266531,-0.006607586869058157,0.008270352249236626,529.495601196289,0.0010954224378715589,-0.7988520703695071,0.04699993133544922,0.0010954224378715589,chop,1.0
2024-07-25,527.313720703125,18.459999084472656,4.25600004196167,-0.005210392136385078,-0.013015457469396585,0.008332630210280544,529.8711993408203,-0.004826604353806999,-1.5617992568641264,-0.029999732971191406,0.004826604353806999,chop,-1.0
2024-07-26,533.2194213867188,16.389999389648438,4.199999809265137,0.011199596088110608,-0.0035323561496461986,0.008734391655212606,530.3182482910156,0.0054706265625449595,-0.40437295648196403,-0.0560002326965332,0.0054706265625449595,chop,1.0
2024-07-29,533.5328979492188,16.600000381469727,4.177999973297119,0.000587894119994381,0.0009924724622385472,0.008689409444382769,530.6450439453125,0.005442157684985079,0.1142031878463509,-0.021999835968017578,0.005442157684985079,chop,1.0
2024-07-30,530.829833984375,17.690000534057617,4.14300012588501,-0.005066349189026043,-0.006124645185973998,0.008750111472651815,530.9390600585938,-0.00020572243113310928,-0.6998705484570946,-0.034999847412109375,0.00020572243113310928,chop,-1.0
2024-07-31,539.4581909179688,16.360000610351562,4.109000205993652,0.016254468722735282,0.0032784685708240335,0.009387172578307035,531.3908056640626,0.015181642527338491,0.3492126442583183,-0.03399991989135742,0.015181642527338491,chop,1.0
2024-08-01,531.8189086914062,18.59000015258789,3.9760000705718994,-0.014161027407078808,-0.015323011990286295,0.009854738485657755,531.6778552246094,0.0002652987432347716,-1.5547299690007617,-0.13300013542175293,0.0002652987432347716,chop,1.0
2024-08-02,521.9173583984375,23.38999938964844,3.7920000553131104,-0.018618274249278755,-0.039196551977142335,0.010496802311045493,531.7414916992187,-0.018475393502559848,-3.7337864455592604,-0.18400001525878906,0.018475393502559848,chop,-1.0
2024-08-05,506.7171630859375,38.56999969482422,3.785000085830689,-0.029123758901492658,-0.06825383464587254,0.012089001103882852,531.5309973144531,-0.046683701146098454,-5.6454779498698295,-0.006999969482421431,0.046683701146098454,trend,-1.0
2024-08-06,511.3888854980469,27.709999084472656,3.888000011444092,0.009219585900067662,-0.06057719605026468,0.01238512645535842,531.489497680664,-0.037819396752585055,-4.89072966181918,0.10299992561340288,0.037819396752585055,trend,-1.0
2024-08-07,507.9707946777344,27.850000381469727,3.9679999351501465,-0.006683936466439944,-0.07599940269542016,0.012022879991920416,531.311689453125,-0.043930700639045354,-6.320705358543901,0.07999992370605469,0.043930700639045354,trend,-1.0
2024-08-08,519.713623046875,23.790000915527344,3.996999979019165,0.023117132898536896,-0.04641667181815168,0.01338129423928098,531.361513671875,-0.021920839814892432,-3.4685137681329006,0.029000043869018555,0.021920839814892432,chop,-1.0
2024-08-09,522.0054321289062,20.3700008392334,3.941999912261963,0.004409753718971787,-0.0482151370586531,0.013323732733931316,531.5296118164063,-0.01791843666988345,-3.6184693548016673,-0.05500006675720215,0.01791843666988345,chop,-1.0
2024-08-12,522.2797241210938,20.709999084472656,3.908999919891357,0.0005254581184506169,-0.050326729926197245,0.013287860215029007,531.7713366699219,-0.017849048819116232,-3.787136677777703,-0.03299999237060591,0.017849048819116232,chop,-1.0
2024-08-13,530.868896484375,18.1200008392334,3.8519999980926514,0.016445540515162227,-0.04039934981867144,0.013835494933147868,532.0919067382813,-0.0022984943736568697,-2.919767615560453,-0.05699992179870561,0.0022984943736568697,chop,-1.0
2024-08-14,532.543701171875,16.190000534057617,3.819999933242798,0.0031548367188043436,-0.02368296111592827,0.013578687921982354,532.4375793457032,0.0001993131782738542,-1.7439989233913888,-0.032000064849853516,0.0001993131782738542,chop,1.0
2024-08-15,541.6717529296875,15.229999542236328,3.9260001182556152,0.017140474552090224,0.0007422051544354602,0.014071733480251335,532.9542932128907,0.0163568617943652,0.05274065308470581,0.10600018501281738,0.0163568617943652,chop,1.0
2024-08-16,542.8861083984375,14.800000190734863,3.891999959945679,0.002241865968055423,0.009690462784699871,0.01398666877664228,533.3726770019531,0.01783636809061663,0.6927861203635144,-0.03400015830993608,0.01783636809061663,chop,1.0
